"userid","ope","con","ext","agr","neu","item_level","blocks","date"
"000927e89a6baaada23a1057a42d080d",4.35,3.9,3.95,3.4,3.35,1,100,""
"000974beb0d63aa0ad89e8c978edaca0",4.5,3.5,3.0,3.5,4.25,1,20,""
"000a252c851cd1918b55c0c52ee0ab24",3.9,3.65,4.0,3.7,2.2,1,100,""
"000b0de29a73d383f9bbfa972e69efc4",3.5,3.75,3.5,4.0,2.75,1,20,""
"000bb001c12edf48663f5adf674a2272",4.7,3.55,2.35,3.3,2.45,1,100,""
"000c4b6e2468f7d528876fd1a6dffd4c",4.1,2.85,2.15,3.2,3.65,1,100,""
"000d0757cd3ca2b9fc973e7aedc57d28",3.75,4.25,4.5,2.25,2.0,1,20,""
"000e0562c462902294b76a9ae107d9d6",3.25,2.75,2.5,3.75,2.5,1,20,""
"000e5c6de375dc617796f94e5e258c59",3.5,3.33,4.0,3.5,3.0,1,30,""
"001187432d2a247562082cd0000dec40",3.5,3.75,4.0,4.38,1.88,1,40,""
"0013a14bf732dcaec568c6e5752e0756",4.63,4.25,3.5,2.88,2.13,1,40,""
"0013d617f7c3dcec767efa9d3a668dcf",3.75,4.0,4.0,4.5,1.75,1,20,""
"001494c3b74f124a2e3435fff17f376b",4.5,4.25,4.0,4.5,4.5,1,20,""
"0016684d01925c6e96ba9895801207c8",3.4,4.3,2.6,3.1,2.3,1,50,""
"0016a0cdde53e4e443f002097282a4a0",4.1,3.7,2.55,3.5,2.74,1,100,""
"0016d852c976a09bf971d31aeeec290a",2.75,3.75,4.0,3.5,2.5,1,20,""
"00170a9dbff00d272eadc799805003be",4.38,2.88,4.75,3.63,2.13,1,40,""
"0017757dd6d4639e9e5e910107e4ba39",3.75,3.5,4.67,2.5,2.75,1,20,""
"0017ff5dbab9f48554e777918f656425",4.1,4.3,3.5,4.15,2.0,1,100,""
"00181406180e58c7846d31e81de6d0f0",3.0,2.5,4.5,3.75,3.25,1,20,""
"00183a52ee671013f2f5e7f69296e454",5.0,4.75,2.75,4.75,1.75,1,20,""
"001932b274080098aabe74cdb1671fd6",2.0,3.75,3.75,4.25,3.25,1,20,""
"001b03da3a46e9ce6c90e837546ee86b",3.25,3.75,2.75,3.75,2.0,1,20,""
"001b967a72a7a0808730c0ee7a3b58c9",3.75,3.75,4.5,2.75,2.25,1,20,""
"001c365b40f413995f043c3f2df71f3a",3.65,3.25,4.25,4.05,2.2,1,100,""
"001c842d388fcb83ac4d0bb6a5db12bf",3.95,3.1,3.65,3.8,3.4,1,100,""
"001d4fa530e67f4fa73374472a59ef5d",4.75,4.75,4.5,4.25,2.0,1,20,""
"001dc358be31eff3849f4a52c6001b07",3.95,2.65,3.6,1.8,3.3,1,100,""
"001edbda52a779d6dec872fa96bddb93",5.0,5.0,4.25,5.0,1.75,1,20,""
"001f0e4c835d3e33fe7a438fca024cd1",3.45,2.7,1.8,4.6,2.65,1,100,""
"001fa2929e842236d1091191033bbff9",4.9,1.8,3.9,4.0,3.0,1,50,""
"00200961a099690696e2854d1ac7f186",2.0,2.5,2.5,3.5,2.75,1,20,""
"00207263b4b32b91e9388a80b1e50da0",4.28,3.56,2.72,3.67,3.17,1,90,""
"0021b51428eb9cd5b48107dd293b4a4f",4.25,3.5,4.67,4.75,1.75,1,20,""
"002288b069d32785471781dee46d987a",4.43,2.36,2.07,2.93,3.43,1,70,""
"00237c228852961ccd28ee5be1adc13d",3.7,2.75,3.37,3.9,1.75,1,100,""
"0023c8170afa7943f1ce4fbbcc01b54d",3.5,4.25,2.25,4.5,1.5,1,20,""
"0023e8225cd698c91d5714f5e68148f8",2.25,3.5,2.0,2.5,3.5,1,20,""
"00247b897c526dcb11d2406e45d8ecbc",2.38,2.63,4.13,3.63,3.0,1,40,""
"00257e647892d77d5f9b4c33a664e6f7",1.5,4.25,3.25,3.75,3.0,1,20,""
"0025d972a17afcc29ea4127038f5da87",3.65,3.55,3.4,3.35,3.25,1,100,""
"00260a16dc28f36c4822febf8f57b9dd",2.0,4.5,3.5,4.25,2.25,1,20,""
"00260b0725895b6ccb4d0f3bc488c36b",4.75,4.0,3.5,5.0,2.5,1,20,""
"0026c10bbbc7eeb55a61ab696ca93923",4.43,3.21,3.64,2.71,4.0,1,70,""
"0027ebf32966fb72c09e2fcc6a502f78",4.25,3.0,2.5,3.67,3.25,1,20,""
"0027f5e5bd2ee44740c0f0cfe7fcf361",4.5,3.25,3.0,3.25,4.75,1,20,""
"0028a85bb8adf1e5abcc64125a6211e9",3.25,3.5,3.35,3.7,3.05,1,100,""
"0028c7db14b7a987bac0f3163239eaa9",3.5,4.5,1.0,2.75,4.75,1,20,""
"00290f5f7528b9519734ce8146d33226",4.0,4.3,4.7,3.3,1.95,1,100,""
"00296b8d69cf11d0ab2ffd2fff8890d0",4.15,3.05,2.95,4.15,2.3,1,100,""
"0029b9fcb4fbdaa2c9a61a28e67b5f3c",5.0,3.33,4.25,4.33,1.0,1,20,""
"002aae5fdac233884d82933ffeebabc5",4.0,4.25,2.75,3.5,2.75,1,20,""
"002af665a7783d97f8a9cb03fe74dd33",4.0,3.81,4.13,3.56,2.44,1,80,""
"002b511a49303dda0c12909baaf34c29",4.5,3.5,4.8,4.1,3.6,1,50,""
"002b53bad2e094dc2f7204344ba08923",3.55,3.35,3.5,4.55,1.68,1,100,""
"002bc06dc29c9ebd31ea3d40d4e13861",4.5,4.5,3.5,4.75,3.33,1,20,""
"002bd167b2d1d54e6c2012c071561e15",3.75,2.55,4.0,2.3,3.6,1,336,"2011-11-06"
"002bed4e1f5608f5350ab8799fb9df94",4.0,4.67,3.5,3.67,3.25,1,20,""
"002c11a4190aca0e3a9f691b8b7bf00c",3.9,3.05,3.0,3.75,3.65,1,100,""
"002caa074aa37d3a86380ac7d34aaa58",3.25,4.5,3.75,5.0,3.0,1,20,""
"002cef5074365f25305da76c3dbcd725",4.0,4.5,4.0,4.0,2.75,1,20,""
"002e22a05a8bd3ca2e719edb77ed0a23",3.6,2.8,3.0,3.7,2.85,1,100,""
"002ea75da31e6254da923f98f7449a69",4.75,4.75,4.5,3.5,2.5,1,20,""
"002ea9b6762152c3d4a96d23d100b007",4.3,3.5,3.33,4.27,3.42,1,60,""
"002efabe296f426d60b815c26517749a",4.56,4.78,3.83,3.83,2.53,1,90,""
"002fe3062d7faa7e05b40610bd256a4c",4.75,2.75,3.75,4.25,2.0,1,20,""
"00314212374a531ab46cf35d1ee901ea",3.0,3.75,4.0,3.5,2.5,1,20,""
"00318bc1642e7dd2a3e469f3a5bcfdaa",4.25,3.75,4.5,4.0,3.25,1,20,""
"00318d5dcc34668f68fba3af27e95c4d",4.25,2.75,2.5,4.25,2.75,1,20,""
"00322ce09fd649a0c5ac4b5def2c65d0",3.25,3.5,4.0,3.5,2.5,1,20,""
"003307907c95bfb58f8e241a21d7546a",3.0,2.5,4.5,3.75,2.75,1,20,""
"00333dd81d716720b6a4b3924984db49",5.0,4.75,4.0,4.0,3.25,1,20,""
"00337bc20f92f2f1f4d2ada1a57023cb",3.75,3.25,4.0,4.5,2.0,1,20,""
"0033defab8feadd007c80c8d2285a8a4",3.67,3.33,3.6,3.33,2.67,1,30,""
"0033e452f40aeec4ffc29979f24c19a7",4.4,3.89,4.26,3.89,3.37,1,100,""
"00341cd32ebe7cb4a74e93157050c190",2.75,4.5,3.75,4.25,1.0,1,20,""
"00345a82bf6bd8b3a1caa5314217093d",3.75,3.25,4.25,2.0,1.25,1,20,""
"0034702a9c90e5202aa858f702bc6dae",4.5,3.25,2.75,3.43,3.25,1,40,""
"0034ec66f6e054a284719e0c705d3f22",3.75,4.4,3.45,3.05,1.95,1,100,""
"0035f5d30eec66deb66a2ab0db190fce",4.25,3.25,3.5,3.0,2.5,1,20,""
"00360e21a50c76a2527ae7fbe5e955ca",4.0,3.5,4.0,3.5,2.0,1,20,""
"00365f2d35f94b2a814e15194701c702",3.38,2.75,3.14,3.38,3.0,1,40,""
"0036da6d20f305fee2eb13bd64ced2c7",5.0,3.75,4.5,3.0,1.75,1,20,""
"003726b9dce376ba84f6a0246bbd386c",3.65,3.0,4.55,4.05,2.2,1,100,""
"00373850f4ea548afd0ff59b32c8d3e5",3.75,3.3,2.3,2.4,3.5,1,100,""
"0037e990e4b89f3e0dc49009733e0410",4.25,2.75,3.25,3.25,3.75,1,20,""
"0037fce9ff25e2363a94561c7d7c1fd2",4.0,4.39,3.89,3.94,2.33,1,90,""
"00390322c70d819a9aadadc367f5e6c2",4.0,3.75,3.0,4.0,3.0,1,20,""
"003955e447c41b720f221753c507dc7a",4.05,2.65,2.4,4.6,4.15,1,100,""
"0039b80600f40ff2bdbc293ebd13aeb2",5.0,2.5,3.25,3.75,2.75,1,20,""
"0039c92adea7bf640924adc16c598ae8",4.5,2.5,3.0,3.0,3.0,1,20,""
"003a008ef1a1e4cd844b7088b0a9eee3",4.25,1.75,3.75,4.75,2.5,1,20,""
"003a80b077f815e91c31e0b216727b50",3.5,2.5,4.5,2.75,2.0,1,20,""
"003ae43fae340174a67ffbcf19da1549",3.7,4.3,3.8,3.6,1.7,1,50,""
"003ba1abbe09e9064e4b1aac4868e2af",3.75,3.5,4.5,3.75,4.25,1,20,""
"003bd172967ca5c2b4f2b3f7ad7f45cf",3.75,3.75,3.75,3.5,3.5,1,20,""
"003c85747f0e38893d47e3ea6e8a4ccc",3.75,4.25,2.25,3.75,2.75,1,20,""
"003de043fd2930a678e3f1b0f59d87c5",4.0,2.75,4.0,3.75,3.5,1,20,""
"003dec29597039a3d787197203d14994",3.5,3.5,4.25,2.25,3.75,1,20,""
"003e12a8131bb33bab7d5113818a15c9",3.5,2.25,2.0,4.0,5.0,1,20,""
"003f666a04c35c951a11673e2a68eaf9",4.25,4.5,3.0,4.5,1.75,1,20,""
"003f7d5017337945e9772ee8feea6be4",3.89,3.89,3.28,3.94,3.0,1,90,""
"003f95e6949711d39e604485672ab882",4.5,2.75,4.0,4.5,4.0,1,20,""
"003fef571ac42042f80511d157214759",3.5,3.75,4.25,1.75,3.0,1,20,""
"00402d9b7455cde1a80b064f26788553",3.5,2.5,3.75,4.25,2.25,1,20,""
"00404121e4d850fe18747a5283461132",4.05,4.5,1.9,2.45,1.9,1,100,""
"00409633f3a25a0addee81c137cc5c30",3.5,3.5,3.0,4.0,3.0,1,20,""
"0041898ed9397fa836e4272ec07e9939",3.5,3.25,4.75,4.5,3.0,1,20,""
"00419a4c96b32cd63b2c7196da761274",3.45,4.65,1.9,3.15,4.15,1,100,""
"00424268661ffc92f2ea2248418f0ec5",3.25,4.0,4.0,4.25,1.67,1,20,""
"0042a01b39826dda933ef2a86193e499",4.65,3.6,3.65,3.5,2.95,1,100,""
"00431a64fd32b087d47d923c2008e5a1",4.0,4.5,4.0,3.75,1.75,1,20,""
"0043bdad2dacff0d51c0826c438a07ae",3.5,4.0,3.25,4.25,3.25,1,20,""
"0043c105cca0fed22013244a3011bb0f",4.0,4.5,5.0,3.5,2.25,1,20,""
"004515c382daded5aa7339ffd52ac658",4.25,4.0,3.5,3.75,3.5,1,20,""
"004551762dc8933a1992c5d806d03c80",2.5,4.0,3.0,4.0,2.0,1,20,""
"0045535625d5c7c537a91934a7c5047f",2.5,3.5,3.25,3.25,3.0,1,20,""
"004586747812f53f2efa92f668ccce32",4.75,3.0,3.75,3.0,2.25,1,20,""
"0045b92b4c7dd5bdf54a6285dda06f4a",4.05,3.65,2.15,3.05,3.25,1,100,""
"004667623c458f3e3b48c3996a69e2e2",4.67,3.67,3.67,2.83,2.33,1,30,""
"00466f672f0637370dd7d014833e1733",3.17,3.06,4.28,3.5,1.28,1,90,""
"0046b41847ac786f639cc036ed82b359",3.75,4.25,3.0,3.25,2.5,1,20,""
"00475fe369e397e973541cd51d7dd4b3",4.75,2.5,4.75,4.25,3.0,1,20,""
"0047750be9665f323d4eea032d608778",3.0,3.5,3.75,3.0,3.0,1,20,""
"0047c6665035b9be1067ce88c4fa9ca0",3.5,3.0,4.25,2.5,3.5,1,20,""
"004a5469536d001baa1469979a449e85",4.75,3.35,3.65,4.2,2.55,1,100,""
"004a74086b3483de4b8d3cab65c34d87",3.25,4.5,2.75,4.5,3.0,1,20,""
"004b2a7f995de87158f0aa51d7df2db1",4.75,2.75,3.0,3.75,2.75,1,20,""
"004b99957ae24b10db1e24feb0d6e091",4.0,3.5,4.5,4.0,1.75,1,20,""
"004cb0093d90296ee3862bf055a3b9a1",3.5,4.25,3.75,4.0,2.75,1,20,""
"004d88aca0ecdb2ba193cffd71bca124",4.4,2.6,2.4,2.44,2.7,1,50,""
"004db11b8f4b9ea5f72b178ba80af10e",4.4,4.3,4.65,4.35,2.6,1,100,""
"004dec2f3993c42e6a0f43011f43631d",3.0,2.7,2.75,4.2,3.85,1,100,""
"004dfa979edec6835163e57793a0b9e0",4.25,4.38,4.25,4.13,2.0,1,40,""
"004ed92354145c51355bd757a0733b1a",4.75,4.0,3.7,4.7,1.6,1,100,""
"004ee556d89be4d51fb0d05b5a76e434",3.95,2.15,3.15,3.15,2.45,1,100,""
"004ffcb14f009a9aa67bfc330bf2fcf9",3.7,2.89,4.75,3.45,1.55,1,100,""
"00513d0702a118eebecf0691839447b4",4.4,3.9,3.35,3.7,3.1,1,100,""
"005185889d842a637f7f41e5fe6c7b0c",4.0,3.5,2.5,5.0,2.25,1,20,""
"0051a3a3e067eb430f9dea359818b734",3.5,3.5,4.25,2.5,2.75,1,20,""
"0051ac4f69800aed7e974ec5f1a9c79f",3.25,2.25,3.5,4.75,2.25,1,20,""
"0051c97d97916d3d335dce7a2739015d",3.9,3.45,4.5,2.95,3.8,1,100,""
"0052034e09a96c096cdc5d1612da83c8",2.5,3.75,3.25,3.25,2.75,1,20,""
"0052042c2a4da0c374a3b6b772564964",4.25,2.25,3.0,4.75,2.25,1,20,""
"00524752ad3d6c46dcad2e72ecb19e4c",4.8,2.25,4.6,4.4,2.0,1,336,"2010-04-02"
"0052b761e3ebb56d367b89ab42539a22",2.5,3.25,4.5,1.5,3.25,1,20,""
"00538b480bf5c5965f8cade49650a0cf",4.75,2.5,4.25,4.75,2.5,1,20,""
"00541c54545ded64b603cb92d439f1af",2.75,1.5,4.0,4.75,3.0,1,20,""
"005547c063a7ec1cb4d757c3d9214232",2.75,3.0,2.25,4.0,3.25,1,20,""
"00560b06f515bf183f50ddc53b04d1e8",4.5,3.25,4.25,4.0,3.0,1,20,""
"00566aa656a5283a59d8d8c49fe8bcb7",3.75,3.75,3.5,2.25,3.75,1,20,""
"0056ce1821cccb3c26517a8dddde81e8",5.0,4.75,3.0,3.75,2.25,1,20,""
"0057588e43eb85a3d032ebe06bf38655",5.0,2.67,4.5,4.75,2.25,1,20,""
"00575ae128d8c04f3ad98ece9ce0ffc4",2.5,3.25,4.75,3.5,2.75,1,20,""
"00581b0810744f97ca9a20a3c031c839",3.25,4.25,2.5,4.5,3.25,1,20,""
"00583a9aadfbf2be0bf050537f2e2415",3.7,3.65,3.55,3.6,2.75,1,100,""
"0058c9bbfe564461226be794b35e05ff",2.25,2.5,3.0,4.0,2.5,1,20,""
"005909a59e4e02e384ca78875d450a19",3.0,3.25,4.0,3.5,2.0,1,20,""
"005949a18bdfb81d44162207214d8102",5.0,4.0,3.75,3.0,3.0,1,20,""
"00598c506559d6226033ee1ed4c377ac",4.0,3.5,3.5,4.25,2.5,1,20,""
"0059e76a2e9b9f97711b98fc465b66c0",3.5,3.0,4.0,3.25,4.0,1,20,""
"005a89d21f31041b556af26213293c5d",4.5,2.33,4.5,3.33,3.17,1,30,""
"005aad2ffc7ecd7aee987dfd14ceeb3f",4.75,3.0,3.5,2.75,3.0,1,20,""
"005b3ef658ec76b772ddd94061a9a150",4.7,3.89,3.37,4.0,2.45,1,100,""
"005c6dcc2e539814e84af0d7fe857799",4.0,1.5,3.67,1.75,1.75,1,20,""
"005cc9cec5f370b3465cef396e9e236e",5.0,3.0,3.5,2.0,3.5,1,20,""
"005dba69e79900fa97b9785e942052c4",3.75,2.0,4.75,1.75,5.0,1,20,""
"005f24e6b167cf8c2ccc75595ebbf952",3.2,2.9,3.4,2.9,1.35,1,100,""
"005f50ad8314578b7959c5d1f82ee10b",3.67,4.33,3.25,4.25,3.67,1,20,""
"0060d8c6711f59f039a1d2ec774b44dd",3.5,4.5,5.0,4.5,2.0,1,20,""
"0061673c2c62019e8f4d8965b9f7c036",3.75,3.25,4.25,4.0,2.0,1,20,""
"006183d8a0037602d995495e0ec3ecb8",3.33,4.0,3.0,3.0,2.33,1,20,""
"00618bce56b3c3f7d2457b5bbfbb8ac1",3.0,3.25,3.5,4.25,2.5,1,20,""
"0062310b72537ff4aaf65dfd4cb33e98",3.6,3.7,3.7,3.7,2.75,1,100,""
"0063097663b7eb8d5849a6165737d717",3.35,4.65,4.35,3.65,1.7,1,100,""
"0064b03eafaa47e98330d9c32ed8eb02",4.0,2.5,4.25,3.5,2.75,1,20,""
"0065c44c93f54143bfeaefda8327a4a8",3.85,2.26,1.5,3.65,1.95,1,100,""
"00668d0de0ecdb0a1eb00355cd84ca3a",3.5,3.75,1.75,4.25,3.25,1,20,""
"00673cdef2d2e0a37b95e51e061f6f02",3.75,3.5,2.75,2.75,3.25,1,20,""
"006775b80f19c685de47bd7b7c8defa6",3.0,3.5,4.75,3.25,3.0,1,20,""
"00679ca82a8803bcb0526cc8eaa06288",4.25,3.0,5.0,3.75,2.5,1,20,""
"00684b70bcf54aaa95422837c138d8e5",2.75,4.0,2.5,4.5,2.25,1,20,""
"00692b72546fefab91fc9bf25496701e",4.3,2.9,4.0,4.6,1.3,1,50,""
"006a79e8d1f140e87404952349dbbb89",5.0,2.6,4.0,4.2,3.8,1,50,""
"006a830ab8ceb6d88355f7f65df39746",3.92,2.9,4.17,4.08,1.83,1,60,""
"006a8d36b537219c475a0a081cb60dea",3.75,3.5,3.75,3.5,3.25,1,20,""
"006ad237301f9ec6dbf9e1b0c223d4f4",3.75,2.75,3.5,3.5,1.75,1,20,""
"006af195243ed810dff6bcf3c65decd1",3.8,3.5,3.25,3.5,2.65,1,100,""
"006bacfeb9977e888143d2da74b94beb",3.0,2.0,4.0,3.25,1.25,1,20,""
"006dd2ba64cabcbb44b2a0ccec4fef59",4.4,3.4,3.95,3.85,4.15,1,100,""
"006e43857cad56d42dde3e615e153f34",4.75,4.0,3.0,3.25,2.75,1,20,""
"006e46f334492ca949833f67baa1356b",2.67,2.33,3.25,3.5,1.67,1,20,""
"006eb87c84ca569da48f08d78bc6a00d",2.5,3.0,3.25,3.25,3.25,1,20,""
"006fd02d40a9db44f5b417f46a1cdf19",3.8,2.25,2.25,2.55,3.95,1,100,""
"006fdc48a00d0cf71f69aaad670ef0df",3.0,2.75,3.0,2.0,4.25,1,20,""
"006fdd11e300fb01fba95ce55d8d55fe",4.25,2.25,3.75,4.25,2.75,1,20,""
"007247fdf3998f3182b03d3dbfd70ff9",4.05,3.95,2.8,3.2,1.1,1,100,""
"0072b0102057d213116ce2a0e66a580a",3.55,3.25,4.0,3.75,3.0,1,100,""
"0072e40de860af2518275c18cbf727ae",3.75,3.5,2.75,2.75,3.5,1,20,""
"007343497b0cfdc89f6c4468a41be21d",4.25,2.5,3.5,4.25,3.5,1,20,""
"00735241440d9777384091b3e587be90",4.5,4.75,4.75,3.67,1.67,1,20,""
"0074176c17ad3e0c20238ab67faccad3",4.33,4.0,4.5,3.0,2.33,1,30,""
"007499b47ee58fb664cb71945f7cbb72",3.75,3.75,3.25,3.5,2.25,1,20,""
"0074ec0bd43bdb9fc8e748ebd90beb9e",3.0,4.0,4.0,4.0,2.75,1,20,""
"0074f195f1f80ec395d2fc05ad189553",5.0,4.25,3.25,4.75,1.75,1,20,""
"00754d1f41f77d2b1768305d19067df2",3.75,4.5,4.0,4.75,1.25,1,20,""
"0075983fb8046680997b6ede999099d1",4.5,5.0,3.5,4.5,1.5,1,20,""
"0075b2b5b7141ef9ecfd77c2e0088bb8",3.75,4.0,2.25,3.5,3.25,1,20,""
"0076d413c0e80840b489190f36ea71dd",3.75,4.25,3.25,5.0,1.25,1,20,""
"007729c55cbed9af9e15162c10e4c146",3.5,2.25,4.0,2.75,3.25,1,20,""
"0077e418a73d90148e687b34ffd56f18",4.0,2.25,3.25,4.25,2.75,1,20,""
"00780969a284d04bf38a7fa0cac4fc63",3.71,2.5,2.93,3.43,3.0,1,70,""
"00798608c3b97ae2632a136cbc2a8a1b",3.75,2.85,3.3,3.95,2.55,1,100,""
"0079d25f6a321eb47bf0f7626b396e0e",4.5,4.1,3.9,2.9,1.8,1,100,""
"007abc4ed8909505847eb47358537ff0",4.75,3.5,4.25,3.0,3.0,1,20,""
"007b78099bce9f3a4284658512648532",5.0,3.0,4.75,2.5,1.75,1,20,""
"007bc3a21506a35bc885a41b60206a43",3.9,4.2,4.2,3.2,1.9,1,50,""
"007bde9c6b837ffa88010fceebd65587",4.0,3.75,3.25,3.0,2.25,1,20,""
"007cef05df959df609a7ec0a5fe88bb9",3.5,4.75,4.0,4.75,2.25,1,20,""
"007d700c51692d472c8631d26e1532d7",4.5,3.0,3.5,3.0,2.5,1,20,""
"007dbff7f5e4f3569b527556d8702c9e",4.75,2.0,2.5,3.75,1.5,1,20,""
"007ec236e0134cd394974ae19f4cefe7",4.0,3.5,3.25,1.5,3.5,1,20,""
"007f4ac88355dd96e8de4cf1bc8b27b5",3.25,3.75,4.0,3.25,3.0,1,20,""
"007f4e91a11068f2dc8a38a544e8987b",4.5,4.5,4.0,4.0,1.75,1,20,""
"007f76f4262309ae635936cbfcafa47d",3.0,2.75,4.0,3.75,1.75,1,20,""
"007fdaccc0401c19a08b517838ede39b",4.21,3.64,4.36,3.57,1.71,1,70,""
"007fe9ae4271ccede72d7b98ea4ebf0f",3.75,4.25,4.0,4.25,3.25,1,20,""
"007ff25e72bd2506946603be2694e5eb",3.25,3.75,3.0,4.25,3.0,1,20,""
"008042bf25efea3960b47e1dd458947d",4.5,3.75,5.0,1.75,2.5,1,20,""
"008081f6b62a672b3b72984e960b701e",3.75,3.0,4.5,3.75,3.25,1,20,""
"00809d110ef5f4277da1d935aab00c31",4.4,3.9,3.9,2.05,1.4,1,100,""
"0080bd1c13acc3b6601c6fa31c7acfcf",3.92,2.67,3.58,3.42,2.75,1,60,""
"00811dfcbd7e5b21a7a25ba1b3ad3fe5",3.0,2.75,3.0,3.5,3.25,1,20,""
"008183b817ba1834334e77cbcac24ed6",2.25,2.67,3.33,3.0,1.5,1,20,""
"0081a7c5b834b5415672bc2f4f9779ca",3.25,5.0,2.75,3.75,2.25,1,20,""
"0081b03f37bfd48ce093cefceed67333",4.0,2.25,3.8,3.0,3.3,1,100,""
"0081d1e7b8887fe313556a674583eb3e",3.25,3.5,3.25,2.5,3.25,1,20,""
"00825edf1ef31017bc7591e2dcbd89b2",4.05,3.05,4.3,3.85,2.9,1,100,""
"0084822f738afa5f2f68fb4a065732fa",2.75,3.25,3.25,4.0,4.75,1,20,""
"0084aaac0a3e57ba22cb27ab3e39e246",4.0,3.5,4.0,3.5,2.75,1,20,""
"0084ec34e77659be447d50ecef93bed0",5.0,5.0,5.0,4.0,2.25,1,20,""
"00861814a16cf32efdc8c877e4727368",3.5,3.5,3.75,4.0,2.0,1,20,""
"00871aed2de71b2f85384fa0c4fbf75e",3.75,2.5,3.75,3.75,2.0,1,20,""
"00875b9f248e5f204ae6cf351fcbec08",3.25,2.75,5.0,4.5,2.75,1,20,""
"0087c6a997d112c551dfeebbfa423e5b",4.2,3.8,2.7,3.3,2.9,1,50,""
"0087c7d1f41ca67e34eb1574b177cbe7",3.25,2.0,3.5,2.75,3.75,1,20,""
"00889961253a0d48a83a6a7bb7d28a36",4.75,4.5,4.5,3.0,2.75,1,20,""
"0088ff19d67953d131944c8953caae28",3.5,3.5,3.35,3.9,3.05,1,100,""
"00896ca8451d854d400a98c84973f590",3.8,3.45,3.4,3.65,2.4,1,100,""
"008b3a7758f923507d63ce01f99e47e0",4.25,3.25,4.0,3.0,2.5,1,20,""
"008b5d99106b988ee5ab156f50d4a0ac",4.25,2.15,3.6,3.1,2.65,1,100,""
"008cab4b37214410155c71f2c311eb22",3.0,3.0,3.0,3.0,2.75,1,20,""
"008cf9da4331265d21fc0c90d92c2c33",4.0,3.25,3.75,3.0,2.25,1,20,""
"008d8d851114279a1ea2117e2c265280",2.75,4.5,3.5,3.5,2.25,1,20,""
"008de1306924950222173ca80be264a8",3.33,2.67,2.83,2.17,1.17,1,30,""
"008df8b6b4b3d4d40b466937e830bfae",4.5,3.3,2.8,3.3,3.2,1,100,""
"008f13e7e3bdf9c58a033f423ca2c5c1",4.17,2.8,4.83,3.5,2.33,1,30,""
"008f167757366f8736273d92e208bc4c",3.0,3.25,4.5,3.75,4.0,1,20,""
"008ff4c611b31f055fa76681758d2855",4.5,3.5,2.75,4.0,4.5,1,20,""
"009000d25598cd02ab909f2840230086",3.5,3.75,4.67,5.0,1.75,1,20,""
"0090c02fc7984d7c07eae7648e5f1185",5.0,3.25,3.0,2.5,1.75,1,20,""
"0090d322ff938f61c5b8ac14df6dfd30",3.5,2.75,2.75,2.5,3.5,1,20,""
"009208a6b3db83f0916501151fed2525",4.0,2.75,4.75,4.25,1.75,1,20,""
"00922708b836ee4bab852f1b1debf4e6",5.0,3.8,4.3,3.1,2.7,1,50,""
"00923493bfc64ec408f923108e4cb72c",2.75,3.25,3.0,3.5,2.75,1,20,""
"00926d1bcfe584e1f5c64633f024a349",4.0,4.0,4.25,3.5,3.0,1,20,""
"0093aa6682dc31af2af9877c2034874f",3.5,2.25,4.5,4.5,3.25,1,20,""
"0093e644c7756e1f99528409e8ff7576",3.25,3.0,2.25,4.0,3.75,1,20,""
